F5,Type,Ns1:Description,Route1,Lat,Long
"chaussée de la Libération, Grez-Doiceau",Radar fixe, Ardennes brabançonnes,N240,50.7434399,4.6791101
"chaussée de Huy, Chaumont-Gistoux",Radar fixe, Ardennes brabançonnes,N243,50.6780845,4.7069807
"chaussée de Gilly, Fleurus",Radar fixe, BRUNAU,N29,50.4498395,4.522134
"chaussée de Charleroi, Gembloux",Radar fixe, Orneau-Mehaigne,N29,50.5607967,4.6818605
"chaussée de Bruxelles, Sombreffe",Radar fixe, SAMSOM,N93,50.5242777,4.6192993
"chaussée de Bruxelles, Soignies",Radar fixe, Haute Senne,N6,50.5064113,4.0004452
"chaussée de Bruxelles, lieu-dit ""Bois Renard"", Ath",Radar fixe, Ath,N7,,
"chaussée de Bruxelles, Les-Bons-Villers",Radar fixe, BRUNAU,N5,50.515954,4.4580623
"chaussée de Bruxelles, Enghien",Radar fixe, Sylle & Dendre,N7,50.691543700,4.0335718
"chaussée de Bruxelles, Ath",Radar fixe, Ath,N7,50.6366033,3.8058855
"chaussée de Braine, Ecaussinnes",Radar fixe, Haute Senne,N532,50.578809,4.1474415
"chaussée de Binche, Mons",Radar fixe, Mons-Quévy,N90,50.452107100,3.9760392
"chaussée de Beaumont, Mons",Radar fixe, Mons-Quévy,N40,50.411304300,4.0081911
"chaussée d’Enghien, Soignies",Radar fixe, Haute Senne,N55,50.6846168,4.004319
"chaussée d’Eghezée, La Bruyère",Radar fixe, Orneau-Mehaigne,N912,50.5473525,4.8067475
"chaussée Charlemagne, Thimister-Clermont",Radar fixe, Pays de Herve,N3,50.647147900,5.864874000
"chaussée Brunehaut, Beloeil",Radar fixe, Beloeil / Leuze-en-Ht,N527,50.5579607,3.690165
"chaussée Brunehault, Morlanwelz",Radar fixe, Mariemont,N563,50.432593,4.1957137
"Bld Sainctelette, Mons",Radar fixe, Mons-Quévy,R50,50.45413,3.95229
"Bld Prés. J-F Kennedy, Mons",Radar fixe, Mons-Quévy,R50,50.45413,3.95229
"avenue Stassart, Les-Bons-Villers",Radar fixe, BRUNAU,N567,50.5031638,4.4657865
"avenue Reine Astrid, Spa",Radar fixe, Fagnes,N62,50.4897442,5.8445463
"avenue Paul Van Hoegaarden, Esneux",Radar fixe, SECOVA,N633,50.53596,5.56775
"avenue du Centenaire, Grez-Doiceau",Radar fixe, Ardennes brabançonnes,N25,50.7766551,4.7152321
"avenue des Combattants, Genappe",Radar fixe, Nivelles-Genappe,N237,50.6320099,4.5359676
"avenue de Mersch, Arlon",Radar fixe, Arlon-Attert-Habay-Martelange,N844,49.6901287,5.8363886
"avenue de la Gare, Habay",Radar fixe, Arlon-Attert-Habay-Martelange,N87,49.7233824,5.6400481
"avenue de la Gare, Aubange",Radar fixe, Sud-Luxembourg,N883,49.5677868,5.8035908
"avenue de la Basilique, Péruwelz",Radar fixe, Bernissart – Péruwelz,N60,50.5001001,3.6028898
"avenue de France, Marche-en-Famenne",Radar fixe, Famenne-Ardenne,N86,50.2252739,5.3380316
", Vielsalm",Radar fixe, Famenne-Ardenne,N89,50.2883685,5.9170187
", Theux",Radar fixe, Fagnes,N62,50.5258607,5.8198956
", Tenneville",Radar fixe, Famenne-Ardenne,N843,50.091248,5.5242133
", Jalhay",Radar fixe, Fagnes,N640,50.5592528,5.9647526
", Gouvy",Radar fixe, Famenne-Ardenne,N827,50.1907344,5.9549901
", Amel/Amblève",Radar fixe, Eifel,N676,50.3730297,6.0754895
"Rue des Français, Ans",feu+vitesse, Ans – St-Nicolas,N3,50.662981100,5.535788300
"route de Philippeville, Gerpinnes",feu+vitesse, Germinalt,N5,50.373862800,4.4671601
"chaussée de Tongres, Juprelle : rue du Tige",feu+vitesse, Basse Meuse,N20,,
"chaussée de Bruxelles, Genappe : dit de l’Arbre Ste-Anne",feu+vitesse, Nivelles - Genappe,N5,50.5943842,4.451527200
"Bld J-F Kennedy, Soignies : Guélenne",feu+vitesse, Haute Senne,N6,,
"Bld du Prince Régent, Leuze-en-Ht : N7-N526",feu+vitesse, Beloeil / Leuze-en-Ht,N7,50.6036748,3.6248853
", La Louvière",feu+vitesse, Polfed,N55,50.4529048,4.1500676
